1,2,3,4,5,6,7
Apparel,Baby,Accessory,Apron,,Plaid,
,Child,,Bag,Handbag,Texture,Polka Dot
,Kid,,Belt,,,Camouflage
,Teen,,Bib,,,Denim
,Female,,Bow,,,Tartan
,,,Glove,,,
,,,Sash,,,
,,,Scarf,,,
,,,Sunglasses,,,
,,,Suspenders,,,
,,,Jewelry,Necklace,,
,,,,Bracelet,,
,,,Hat,Cap,Baseball Cap,
,,,Helmet,Hardhat,,
,,,,Crash Helmet,,
,,,Tie,Necktie,,
,,,Diaper,,,
,,Footwear,Shoe,,,
,,,Sandal,,,
,,Clothing,Swimwear,,,
,,,Sock,,,
,,,Cape,,,
,,,Cardigan,,,
,,,Cloak,,,
,,,Coat,Overcoat,,
,,,,Lab Coat,,
,,,,Raincoat,,
,,,Costume,,,
,,,Dress,Evening Dress,,
,,,Gown,Wedding,,
,,,Jacket,Blazer,,
,,,Kilt,,,
,,,Linen,,,
,,,Pajamas,,,
,,,Pants,Jeans,,
,,,Robe,Kimono,,
,,,Shirt,Dress Shirt,,
,,,Blouse,,,
,,,Shorts,,,
,,,Skirt,Miniskirt,,
,,,Suit,,,
,,,Sweater,,,
,,,Sweatshirt,Hoodie,,
,,,Tank Top,,,
,,,T-Shirt,,,
,,,Underwear,Lingerie,,
,,,Undershirt,,,
,,,Vest,,,
Plant,Fruit,Pineapple,,,,
,Vegetable,,,,,
,Tree,Conifer,,,,
,Flower,Cherry Blossom,,,,
,,Rose,,,,
,,Geranium,,,,
,,Hibiscus,,,,
,,Carnation,,,,
,Leaf,,,,,
Animal,Mammal,Antelope,,,,
,,Deer,,,,
,Bird,Flock,,,,
,,Vulture,,,,
,Fish,,,,,
Art,Drawing,Doodle,,,,
,Graphics,Floral Design,,,,
Paper,Brochure,,,,,
,Poster,,,,,
,Flyer,,,,,
Pattern,Fractal,,,,,
,Embroidery,,,,,
,Paisley,,,,,
Cushion,Pillow,,,,,
Home Decor,Linen,,,,,
Toy,,,,,,
Chess,,,,,,
Ball,,,,,,
Balloon,,,,,,
