,label,count
0,Accessories,77
1,Accessory,77
2,Advertisement,6
3,Afro Hairstyle,7
4,Alphabet,3
5,Animal,22
6,Antelope,2
7,Apparel,1466
8,Apron,4
9,Art,101
10,Asphalt,1
11,Astronomy,2
12,Automobile,1
13,Baby,3
14,Bag,9
15,Ball,1
16,Balloon,1
17,Baseball Cap,2
18,Beard,1
19,Belt,9
20,Bib,1
21,Bird,13
22,Blanket,2
23,Blazer,8
24,Blonde,2
25,Blossom,34
26,Blouse,220
27,Bow,7
28,Bracelet,1
29,Brochure,2
30,Building,4
31,Business Card,3
32,Camouflage,9
33,Cap,2
34,Cape,2
35,Car,1
36,Cardigan,2
37,Carnation,4
38,Cherry Blossom,1
39,Chess,1
40,Child,2
41,City,4
42,Cloak,5
43,Clothing,1466
44,Coat,116
45,Collar,3
46,Confetti,6
47,Conifer,5
48,Costume,7
49,Crash Helmet,1
50,Cushion,4
51,Deer,2
52,Denim,86
53,Diaper,1
54,Document,4
55,Doodle,5
56,Drawing,7
57,Dress,443
58,Dress Shirt,112
59,Dye,7
60,Embroidery,12
61,Evening Dress,26
62,Face,18
63,Fashion,196
64,Female,446
65,Fish,3
66,Flock,9
67,Flooring,1
68,Floral Design,88
69,Flower,34
70,Flyer,2
71,Flying,2
72,Food,12
73,Footwear,27
74,Fractal,1
75,Fruit,5
76,Game,1
77,Gate,1
78,Geranium,4
79,Girl,1
80,Glove,1
81,Gown,49
82,Graphics,102
83,Hair,23
84,Hand,1
85,Handbag,9
86,Handwriting,2
87,Hardhat,1
88,Hat,2
89,Head,2
90,Helmet,1
91,Hibiscus,4
92,High Rise,3
93,Hole,6
94,Home Decor,20
95,Hood,5
96,Hoodie,7
97,Human,711
98,Id Cards,4
99,Jacket,17
100,Jeans,86
101,Jewelry,2
102,Kid,2
103,Kilt,3
104,Kimono,24
105,Kite Bird,2
106,Lab Coat,2
107,Label,9
108,Lace,2
109,Leaf,2
110,Lighting,1
111,Linen,4
112,Lingerie,3
113,Long Sleeve,293
114,Mammal,2
115,Metropolis,4
116,Military,17
117,Military Uniform,18
118,Miniskirt,4
119,Nature,6
120,Necklace,1
121,Necktie,27
122,Neighborhood,3
123,Night,2
124,Number,1
125,Ocean,4
126,Ornament,10
127,Outdoors,6
128,Outer Space,2
129,Overcoat,58
130,Paisley,2
131,Pajamas,53
132,Pants,266
133,Paper,13
134,Passport,4
135,Pattern,137
136,Peony,6
137,Person,711
138,Petal,14
139,Pillow,4
140,Pineapple,5
141,Plaid,23
142,Plant,69
143,Plot,2
144,Polka Dot,10
145,Poncho,1
146,Poster,5
147,Purple,9
148,Purse,3
149,Raincoat,3
150,Road,1
151,Robe,195
152,Rock,1
153,Rose,7
154,Rug,141
155,Sandal,2
156,Sash,1
157,Scarf,17
158,Sea,4
159,Sea Life,1
160,Sea Waves,1
161,Seat Belt,3
162,Shirt,319
163,Shoe,19
164,Shorts,60
165,Skin,3
166,Skirt,128
167,Sleeve,400
168,Sock,5
169,Space,2
170,Sport,1
171,Sports,1
172,Standing,7
173,Strap,33
174,Suit,25
175,Sunglasses,1
176,Surfboard,1
177,Surfing,1
178,Suspenders,14
179,Sweater,49
180,Sweatshirt,23
181,Swimwear,3
182,Symbol,1
183,T-Shirt,10
184,Tablecloth,1
185,Tank Top,7
186,Tarmac,1
187,Tartan,23
188,Tattoo,1
189,Teen,2
190,Text,21
191,Texture,31
192,Tie,56
193,Town,4
194,Toy,3
195,Transportation,1
196,Tree,6
197,Undershirt,2
198,Underwear,4
199,Universe,2
200,Urban,4
201,Vegetable,6
202,Vehicle,1
203,Vest,17
204,Vulture,2
205,Water,4
206,Wedding,1
207,Wildlife,2
208,Woman,270
209,Word,7
210,Zebra Crossing,1
