Image,Object0,Object1,Object2,Object3,Object4,Object5,Object6
0006f69d1aadc924d0f81922644c584b\image_1.jpg,Apparel,0,Clothing,Sweatshirt,0,0,0
0006f69d1aadc924d0f81922644c584b\image_2.jpg,Apparel,Female,Clothing,Pants,0,0,0
000e369880967ee369af2d3009f23ad8\image_1.jpg,Apparel,Female,Clothing,Dress,0,0,0
000e369880967ee369af2d3009f23ad8\image_2.jpg,Apparel,Female,Clothing,Dress,0,0,0
000e369880967ee369af2d3009f23ad8\image_3.jpg,Apparel,0,Clothing,Dress,0,0,0
001aca919196ae1f821cb29dafe74619\image_1.jpg,Apparel,0,Clothing,Shorts,0,0,0
001aca919196ae1f821cb29dafe74619\image_2.jpg,Apparel,Female,Clothing,Skirt,0,0,0
002492ea25a611581dc0a613ead86913\image_1.jpg,Apparel,0,Clothing,Shorts,0,0,0
002492ea25a611581dc0a613ead86913\image_2.jpg,Pattern,0,0,0,0,0,0
002bd2213fa2d833382f25ac8f22998d\image_1.jpg,Apparel,0,Clothing,Shirt,Dress Shirt,0,0
002bd2213fa2d833382f25ac8f22998d\image_2.jpg,Apparel,0,Clothing,Shirt,0,0,0
003be2516c1aa025681cb520b11e950f\image_1.jpg,Apparel,0,Clothing,Shorts,0,0,0
003be2516c1aa025681cb520b11e950f\image_2.jpg,Apparel,0,Clothing,Skirt,0,Plaid,Tartan
00441ea132a1974d5609c3e38ee0f3ad\image_1.jpg,Apparel,0,Clothing,Pajamas,0,0,0
00441ea132a1974d5609c3e38ee0f3ad\image_2.jpg,Apparel,0,Clothing,Pajamas,0,0,0
00441ea132a1974d5609c3e38ee0f3ad\image_3.jpg,Apparel,Female,Clothing,Coat,Overcoat,0,Denim
00441ea132a1974d5609c3e38ee0f3ad\image_4.jpg,Apparel,0,Clothing,Shirt,Dress Shirt,0,0
00441ea132a1974d5609c3e38ee0f3ad\image_5.jpg,Apparel,0,Clothing,Shirt,0,0,0
