Image,Object,Object1,Object2,Object3,Object4,Object5,Object6
0006f69d1aadc924d0f81922644c584b\image_1.jpg,Apparel,,Clothing,Sweatshirt,,,
0006f69d1aadc924d0f81922644c584b\image_2.jpg,Apparel,Female,Clothing,Pants,,,
000e369880967ee369af2d3009f23ad8\image_1.jpg,Apparel,Female,Clothing,Dress,,,
000e369880967ee369af2d3009f23ad8\image_2.jpg,Apparel,Female,Clothing,Dress,,,
000e369880967ee369af2d3009f23ad8\image_3.jpg,Apparel,,Clothing,Dress,,,
001aca919196ae1f821cb29dafe74619\image_1.jpg,Apparel,,Clothing,Shorts,,,
001aca919196ae1f821cb29dafe74619\image_2.jpg,Apparel,Female,Clothing,Skirt,,,
002492ea25a611581dc0a613ead86913\image_1.jpg,Apparel,,Clothing,Shorts,,,
002492ea25a611581dc0a613ead86913\image_2.jpg,Pattern,,,,,,
002bd2213fa2d833382f25ac8f22998d\image_1.jpg,Apparel,,Clothing,Shirt,Dress Shirt,,
002bd2213fa2d833382f25ac8f22998d\image_2.jpg,Apparel,,Clothing,Shirt,,,
003be2516c1aa025681cb520b11e950f\image_1.jpg,Apparel,,Clothing,Shorts,,,
003be2516c1aa025681cb520b11e950f\image_2.jpg,Apparel,,Clothing,Skirt,,Plaid,Tartan
00441ea132a1974d5609c3e38ee0f3ad\image_1.jpg,Apparel,,Clothing,Pajamas,,,
00441ea132a1974d5609c3e38ee0f3ad\image_2.jpg,Apparel,,Clothing,Pajamas,,,
00441ea132a1974d5609c3e38ee0f3ad\image_3.jpg,Apparel,Female,Clothing,Coat,Overcoat,,Denim
00441ea132a1974d5609c3e38ee0f3ad\image_4.jpg,Apparel,,Clothing,Shirt,Dress Shirt,,
00441ea132a1974d5609c3e38ee0f3ad\image_5.jpg,Apparel,,Clothing,Shirt,,,
0058938ea5683bf1d31079a23ee1d45a\image_1.jpg,Apparel,Female,Clothing,Dress,,,
0086be2ca961bfecf130c97cea71ada8\image_1.jpg,Apparel,Female,Clothing,Blouse,,Texture,
0086be2ca961bfecf130c97cea71ada8\image_2.jpg,Apparel,Female,Clothing,Dress,,Texture,
0086be2ca961bfecf130c97cea71ada8\image_3.jpg,Apparel,Female,Clothing,Dress,,Texture,
0086be2ca961bfecf130c97cea71ada8\image_4.jpg,Apparel,,Clothing,,,,
008d4fcd3325e8d6370781a33d424418\image_1.jpg,Apparel,,Clothing,Robe,,,
008d4fcd3325e8d6370781a33d424418\image_2.jpg,Apparel,Female,Clothing,Dress,,Texture,
008d4fcd3325e8d6370781a33d424418\image_3.jpg,Apparel,,Clothing,Robe,Kimono,,
008fc4e6341ac43d958ce9508b8b7e32\image_1.jpg,Apparel,,Clothing,Shirt,Dress Shirt,,
008fc4e6341ac43d958ce9508b8b7e32\image_2.jpg,Apparel,,Clothing,Shirt,Dress Shirt,,
008fc4e6341ac43d958ce9508b8b7e32\image_3.jpg,Apparel,,Clothing,Shirt,Dress Shirt,,
0096ec3c062eb9bdc9648d65053362a5\image_1.jpg,Apparel,,Clothing,Robe,Kimono,,
0096ec3c062eb9bdc9648d65053362a5\image_2.jpg,Apparel,,Clothing,Robe,Kimono,,
0096ec3c062eb9bdc9648d65053362a5\image_3.jpg,Apparel,,Clothing,Robe,Kimono,,
0096ec3c062eb9bdc9648d65053362a5\image_4.jpg,Animal,Bird,Vulture,,,,
01297d87b3b8102987406875cb30f391\image_1.jpg,Apparel,,Clothing,Robe,Kimono,,
01297d87b3b8102987406875cb30f391\image_2.jpg,Apparel,Female,Clothing,Robe,,,
01297d87b3b8102987406875cb30f391\image_3.jpg,Apparel,,Clothing,Robe,,,
01297d87b3b8102987406875cb30f391\image_4.jpg,Apparel,,Clothing,Robe,,,
01c0c3ec4bd79b26f1d33d6885d9963d\image_1.jpg,Apparel,Female,Clothing,Dress,,,
01c0c3ec4bd79b26f1d33d6885d9963d\image_2.jpg,Apparel,Female,Clothing,Dress,,,
01c0c3ec4bd79b26f1d33d6885d9963d\image_3.jpg,Apparel,Female,Clothing,Dress,,,
01c0c3ec4bd79b26f1d33d6885d9963d\image_4.jpg,Apparel,Female,Clothing,Dress,,,
01d86256c875fed9b64c9169a8bcce82\image_1.jpg,Apparel,,Clothing,Skirt,,Plaid,Tartan
01d86256c875fed9b64c9169a8bcce82\image_2.jpg,Apparel,,Clothing,Pants,,,
01d86256c875fed9b64c9169a8bcce82\image_3.jpg,Apparel,,Clothing,Pajamas,,,
022ab863d03d2e788973253d8c658938\image_1.jpg,Apparel,,Clothing,Shirt,,,
022ab863d03d2e788973253d8c658938\image_2.jpg,Apparel,,Clothing,Shirt,,,
022ab863d03d2e788973253d8c658938\image_3.jpg,Apparel,,Clothing,Shirt,Dress Shirt,,
022ab863d03d2e788973253d8c658938\image_4.jpg,Paper,Poster,,,,,
0251fdd36add239f11638cf125c042c4\image_1.jpg,Apparel,,Clothing,Shirt,,,
02605ba39dc6cb9414716047239cadb6\image_1.jpg,Apparel,,Clothing,Shirt,Dress Shirt,,
02605ba39dc6cb9414716047239cadb6\image_2.jpg,Apparel,,Clothing,Shirt,Dress Shirt,,
02605ba39dc6cb9414716047239cadb6\image_3.jpg,Apparel,,Clothing,Shirt,Dress Shirt,Plaid,Tartan
028cfb64bcb6c34bf6d546dae1beec7d\image_1.jpg,Apparel,Female,Clothing,Skirt,,,
028cfb64bcb6c34bf6d546dae1beec7d\image_2.jpg,Apparel,Female,Clothing,Dress,,,
028cfb64bcb6c34bf6d546dae1beec7d\image_3.jpg,Apparel,Female,Clothing,Skirt,,,
028cfb64bcb6c34bf6d546dae1beec7d\image_4.jpg,Apparel,Female,Clothing,Skirt,,,
02d40be98192ce5df0eb85af5b835422\image_1.jpg,Apparel,,Clothing,Robe,Kimono,,
02e2f35f92da112863bfc372a3a1a47f\image_1.jpg,Apparel,Female,Clothing,Dress,,,
02e2f35f92da112863bfc372a3a1a47f\image_2.jpg,Apparel,Female,Clothing,Dress,,,
02e2f35f92da112863bfc372a3a1a47f\image_3.jpg,Apparel,Female,Clothing,Dress,,,
02e2f35f92da112863bfc372a3a1a47f\image_4.jpg,Apparel,Female,Clothing,Blouse,,,
02ebaf4984adb027ca65597ba0f493a9\image_1.jpg,Apparel,,Clothing,Shorts,,Plaid,Tartan
02ebaf4984adb027ca65597ba0f493a9\image_2.jpg,Apparel,,Clothing,Skirt,,Plaid,Tartan
030580065d96638e4bbe1b18c35862dc\image_1.jpg,Apparel,,Clothing,Shorts,,,
030580065d96638e4bbe1b18c35862dc\image_2.jpg,Apparel,,Clothing,Shorts,,Plaid,Tartan
030f915f71daec3b5f700220e8957e20\image_1.jpg,Apparel,,Clothing,Coat,,,
030f915f71daec3b5f700220e8957e20\image_2.jpg,Art,Graphics,,,,,
03105565dc7796272c79e3164723a424\image_1.jpg,Art,Graphics,,,,,
0374f382b3ec54e74dadb028139404b3\image_1.jpg,Apparel,,Clothing,Cloak,,,
0374f382b3ec54e74dadb028139404b3\image_2.jpg,Plant,,Vegetable,,,,
03808f69200ac5f3a85dca7f909e6dc3\image_1.jpg,Apparel,,Clothing,Robe,Kimono,,
03808f69200ac5f3a85dca7f909e6dc3\image_2.jpg,Plant,Flower,,,,,
03a41ad8ee6e9eb95425cb914b686a99\image_1.jpg,Apparel,,Clothing,Coat,Overcoat,,
03a41ad8ee6e9eb95425cb914b686a99\image_2.jpg,Pattern,Embroidery,,,,,
